GPS_Time,Device_Time,Longitude,Latitude,GPS_Speed_(Meters/second),Horizontal_Dilution_of_Precision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),0-100kph_Time(s),0-100mph_Time(s),0-200kph_Time(s),0-30mph_Time(s),0-60mph_Time(s),1/4_mile_time(s),1/8_mile_time(s),100-0kph_Time(s),100-200kph_Time(s),40-60mph_Time(s),60-0mph_Time(s),60-120mph_Time(s),60-130mph_Time(s),60-80mph_Time(s),80-100mph_Time(s),80-120kph_Time(s),Absolute_Throttle_Position_B(%),Acceleration_Sensor(Total)(g),Acceleration_Sensor(X_axis)(g),Acceleration_Sensor(Y_axis)(g),Acceleration_Sensor(Z_axis)(g),Accelerator_PedalPosition_D(%),Accelerator_PedalPosition_E(%),Actual_engine_%_torque(%),Air_Fuel_Ratio(Commanded)(:1),Air_Fuel_Ratio(Measured)(:1),Ambient_air_temp(°C),Android_device_Battery_Level(%),Barometer_(on_Android_device)(mb),Barometric_pressure_(from_vehicle)(psi),Commanded_Equivalence_Ratio(lambda),Cost_per_mile/km_(Instant)(R$/km),Cost_per_mile/km_(Trip)(R$/km),CO2_in_g/km_(Average)(g/km),CO2_in_g/km_(Instantaneous)(g/km),Distance_to_empty_(Estimated)(km),Distance_travelled_since_codes_cleared(km),Distance_travelled_with_MIL/CEL_lit(km),DPF_Bank_1_Delta_Pressure(psi),Drivers_demand_engine_%_torque(%),EGR_Commanded(%),EGR _Error(%),Engine_kW_(At_the_wheels)(kW),Engine_Load(%),Engine_Load(Absolute)(%),Engine_reference_torque(Nm),Engine_RPM(rpm),Ethanol_Fuel_%(%),Evap_System_Vapour_Pressure(Pa),Exhaust_Pressure_Bank_1(psi),Fuel_cost_(trip)(cost),Fuel_flow_rate/hour(l/hr),Fuel_flow_rate/minute(cc/min),Fuel_Level_(From_Engine_ECU)(%),Fuel_pressure(psi),Fuel_Rail_Pressure(psi),Fuel_Rail_Pressure_(relative_to_manifold_vacuum)(psi),Fuel_Rate_(direct_from_ECU)(L/m),Fuel_Remaining_(Calculated_from_vehicle_profile)(%),Fuel_Trim_Bank_1_Long_Term(%),Fuel_Trim_Bank_1_Short_Term(%),Fuel_used_(trip)(l),GPS_Accuracy(m),GPS_Altitude(m),GPS_Bearing,GPS_Latitude,GPS_Longitude,GPS_vs_OBD_Speed_Difference(km/h),Horsepower_(At_The_Wheels)(hp),Hybrid_Battery_Charge_(%),Intake_Manifold_Pressure(psi),Kilometers_Per_Litre(Instant)(kpl),Kilometers_Per_Litre(Long_Term_Average)(kpl),Litres_Per_100_Kilometer(Instant)(l/100km),Litres_Per_100_Kilometer(Long_Term_Average)(l/100km),Mass_Air_Flow_Rate(g/s),Miles_Per_Gallon(Instant)(mpg),Miles_Per_Gallon(Long_Term_Average)(mpg),Percentage_of_City_driving(%),Percentage_of_Highway_driving(%),Percentage_of_Idle_driving(%),Relative_Accelerator_Pedal_Position(%),Relative_Throttle_Position(%),Run_Time_Since_Engine_Start(s),Speed_(GPS)(km/h),Speed_(OBD)(km/h),Throttle_Position(Manifold)(%),Torque(Nm),Trip_Average_KPL(kpl),Trip_Average_Litres/100_KM(l/100km),Trip_Average_MPG(mpg),Trip_Distance(km),Trip_Distance_(Stored_In_Vehicle_Profile)(km),Trip_Time(Since_Journey_Start)(s),Trip_Time(Whilst_Moving)(s),Trip_Time(Whilst_Stationary)(s),Turbo_Boost_And_Vacuum_Gauge(psi),Voltage(Control_Module)(V),Voltage(OBD_Adapter)(V),Volumetric_Efficiency(Calculated)(%),id,scenario,driver,vehicle,hour,heremaps_speed,heremaps_speeduncapped,heremaps_freeflow,heremaps_jamfactor
Thu Mar 10 17:40:13 GMT-03:00 2022,"44630,7362581829",-43.231518333333334,-19.62668,0.0,1.100000023841858,738.2,154.35000610351562,-0.1,6.15,8.62,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.06,-0.18,0.54,0.63,-,-,-,-,-,-,45,-,-,-,∞,0.84,156.29,-,363.96,-,0,-,-,-,-,-,-,-,-,771,-,-,-,0.44,0.98,16.28,-,-,-,-,-,39,-17.97,-0.78,0.06,1.1,738.2,154.35,-19.63,-43.23,0,-,-,3.92,0,14.36,-,6.97,-,0,40.55,77.37,0,22.63,-,-,-,0,0,3.53,-,14.43,6.93,40.76,0.85,80006.33,184.63,154.55,30.08,-10.78,-,13.8,-,1,1,1,1,17:40:12,"25,24","25,24","31,66","7,17484"
Thu Mar 10 17:40:14 GMT-03:00 2022,"44630,7362697454",-43.231518333333334,-19.62668,0.0,1.100000023841858,738.2,154.35000610351562,-1.62,6.3,7.23,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.02,-0.2,0.61,0.62,-,-,-,-,-,-,45,-,-,-,∞,0.84,156.29,-,363.92,-,0,-,-,-,-,-,-,-,-,775.25,-,-,-,0.44,0.96,16.04,-,-,-,-,-,39,-17.97,-0.78,0.06,1.1,738.2,154.35,-19.63,-43.23,0,-,-,3.92,0,14.35,-,6.97,-,0,40.55,76.88,0,23.12,-,-,-,0,0,3.53,-,14.42,6.93,40.74,0.85,80006.33,185.82,154.55,31.27,-10.78,-,13.8,-,1,1,1,1,17:40:13,"25,24","25,24","31,66","7,17484"
Thu Mar 10 17:40:15 GMT-03:00 2022,"44630,7362813079",-43.231518333333334,-19.62668,0.0,1.2999999523162842,738.2,154.35000610351562,-2.37,6.37,8.95,0.16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-0.25,0.65,0.6,-,-,-,-,-,-,45,-,-,-,∞,0.84,156.29,-,363.92,-,0,-,-,-,-,-,-,-,-,775.25,-,-,-,0.44,0.96,16.04,-,-,-,-,-,39,-17.97,-4.69,0.06,1.3,738.2,154.35,-19.63,-43.23,0,-,-,3.92,0,14.35,-,6.97,-,0,40.55,76.56,0,23.44,-,-,-,0,0,3.53,-,14.42,6.93,40.74,0.85,80006.33,186.57,154.55,32.02,-10.78,-,13.9,-,1,1,1,1,17:40:14,"25,24","25,24","31,66","7,17484"
Thu Mar 10 17:40:16 GMT-03:00 2022,"44630,7362929167",-43.231518333333334,-19.62668,0.0,1.399999976158142,738.2,154.35000610351562,-2.15,6.72,7.25,0.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.05,-0.22,0.67,0.67,-,-,-,-,-,-,45,-,-,-,∞,0.85,156.29,-,363.88,-,0,-,-,-,-,-,-,-,-,781,-,-,-,0.45,0.97,16.13,-,-,-,-,-,39,-17.97,-4.69,0.06,1.4,738.2,154.35,-19.63,-43.23,0,-,-,3.92,0,14.35,-,6.97,-,0,40.54,76.07,0,23.93,-,-,-,0,0,3.53,-,14.41,6.94,40.71,0.85,80006.33,187.78,154.55,33.22,-10.78,-,13.9,-,1,1,1,1,17:40:15,"25,24","25,24","31,66","7,17484"
Thu Mar 10 17:40:17 GMT-03:00 2022,"44630,736304456",-43.231518333333334,-19.62668,0.0,1.5,738.2,154.35000610351562,-2.3,6.71,7.3,0.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.03,-0.23,0.68,0.64,-,-,-,-,-,-,45,-,-,-,∞,0.85,156.29,-,363.88,-,0,-,-,-,-,-,-,-,-,781,-,-,-,0.45,0.97,16.13,-,-,-,-,-,39,-17.97,-1.56,0.06,1.5,738.2,154.35,-19.63,-43.23,0,-,-,3.92,0,14.35,-,6.97,-,0,40.54,75.76,0,24.24,-,-,-,0,0,3.53,-,14.41,6.94,40.71,0.85,80006.33,188.56,154.55,34.01,-10.78,-,13.8,-,1,1,1,1,17:40:16,"25,24","25,24","31,66","7,17484"
Thu Mar 10 17:40:18 GMT-03:00 2022,"44630,7363160648",-43.231518333333334,-19.62668,0.0,1.600000023841858,738.2,154.35000610351562,-1.17,6.21,5,-0.16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-0.17,0.69,0.6,-,-,-,-,-,-,45,-,-,-,∞,0.86,156.29,-,363.84,-,0,-,-,-,-,-,-,-,-,769.5,-,-,-,0.45,0.98,16.25,-,-,-,-,-,39,-17.97,-6.25,0.06,1.6,738.2,154.35,-19.63,-43.23,0,-,-,3.92,0,14.35,-,6.97,-,0,40.54,75.21,0,24.79,-,-,-,0,0,3.53,-,14.4,6.94,40.69,0.85,80006.33,189.92,154.55,35.37,-10.78,-,13.8,-,1,1,1,1,17:40:17,"25,24","25,24","31,66","7,17484"
Thu Mar 10 17:40:19 GMT-03:00 2022,"44630,7363276157",-43.231518333333334,-19.62668,0.0,1.7000000476837158,738.2,154.35000610351562,0.33,-6.55,14.46,0.64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.15,-0.22,-0.49,0.91,-,-,-,-,-,-,45,-,-,-,∞,0.86,156.29,-,363.84,-,0,-,-,-,-,-,-,-,-,769.5,-,-,-,0.45,0.98,16.25,-,-,-,-,-,39,-17.97,-6.25,0.06,1.7,738.2,154.35,-19.63,-43.23,0,-,-,3.92,0,14.35,-,6.97,-,0,40.54,74.84,0,25.16,-,-,-,0,0,3.53,-,14.4,6.94,40.69,0.85,80006.33,190.88,154.55,36.33,-10.78,-,13.9,-,1,1,1,1,17:40:18,"25,24","25,24","31,66","7,17484"
Thu Mar 10 17:40:20 GMT-03:00 2022,"44630,736339213",-43.231518333333334,-19.62668,0.0,1.7000000476837158,738.2,154.35000610351562,1.5,-3.34,9.09,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0.15,-0.34,0.82,-,-,-,-,-,-,45,-,-,-,∞,0.87,156.29,-,363.79,-,0,-,-,-,-,-,-,-,-,782,-,-,-,0.46,1,16.6,-,-,-,-,-,39,-17.97,0,0.06,1.7,738.2,154.35,-19.63,-43.23,0,-,-,4.06,0,14.35,-,6.97,-,0,40.54,74.46,0,25.54,-,-,-,0,0,3.53,-,14.4,6.95,40.67,0.85,80006.33,191.83,154.55,37.28,-10.64,-,13.9,-,1,1,1,1,17:40:19,"25,24","25,24","31,66","7,17484"
Thu Mar 10 17:40:21 GMT-03:00 2022,"44630,7363507523",-43.231518333333334,-19.62668,0.0,1.7999999523162842,738.2,154.35000610351562,0.52,-3.97,8.79,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.01,0.04,-0.4,0.79,-,-,-,-,-,-,45,-,-,-,∞,0.87,156.29,-,363.79,-,0,-,-,-,-,-,-,-,-,782,-,-,-,0.46,1,16.6,-,-,-,-,-,39,-17.97,0,0.06,1.8,738.2,154.35,-19.63,-43.23,0,-,-,4.06,0,14.35,-,6.97,-,0,40.54,74.09,0,25.91,-,-,-,0,0,3.53,-,14.4,6.95,40.67,0.85,80006.33,192.79,154.55,38.24,-10.64,-,13.8,-,1,1,1,1,17:40:20,"25,24","25,24","31,66","7,17484"
Thu Mar 10 17:40:22 GMT-03:00 2022,"44630,7363623495",-43.231518333333334,-19.62668,0.0,1.899999976158142,738.2,154.35000610351562,0.23,-3.25,9.13,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.02,0.03,-0.33,0.81,-,-,-,-,-,-,45,-,-,-,∞,0.87,156.29,-,363.75,-,0,-,-,-,-,-,-,-,-,769.75,-,-,-,0.46,0.98,16.27,-,-,-,-,-,39,-17.97,-5.47,0.06,1.9,738.2,154.35,-19.63,-43.23,0,-,-,3.92,0,14.35,-,6.97,-,0,40.53,73.67,0,26.33,-,-,-,0,0,3.53,-,14.39,6.95,40.65,0.85,80006.33,193.92,154.55,39.37,-10.78,-,13.8,-,1,1,1,1,17:40:21,"25,24","25,24","31,66","7,17484"
